DATE,CCIUAC,CCIUTC,CONB,CONQ,EEC,EEGP,EXVUS,FM1,FM1D82,FSPCAP,FSPCOM,FSPCON,IP,LHUR,LUINC,PW,RCARD,RTRR
JAN1980,67166,153636,48579,66820,7.4029999971,111,85.519999981,386.09999943,477.79999924,126.67999995,110.86999995,85.089999974,85.899999976,6.299999997,416,85.199999988,8.3399999999,79407
FEB1980,67119,153308,47759,64049,6.9619999975,118.59999996,86.369999945,389.79999924,476.5,131.26999998,115.33999997,83.139999986,86.199999988,6.299999997,397,86.899999976,7.8599999994,78787
MAR1980,66786,152347,46705,64831,6.8479999974,123,90.25999999,389.29999924,468.5,116.19999999,104.69,75.5,86.199999988,6.299999997,438,87.5,7.1399999969,77685
APR1980,65837,150937,45835,63913,5.9859999977,124.19999999,91.089999974,383.69999981,457.29999924,110.19999999,102.96999997,76.929999948,84.5,6.8999999985,532,87.799999952,5.9199999981,76658
MAY1980,65035,149238,46819,64598,5.8369999975,124.39999998,86.959999979,383.19999981,452.39999962,113.45999998,107.69,82.809999943,82.5,7.5,616,88.299999952,5.3199999966,76613
JUN1980,64224,147883,46169,63401,5.693,124.59999996,85.289999962,388.39999962,453.69999981,122.13999999,114.54999995,85.75999999,81.5,7.5999999978,581,88.699999988,5.75,77586
JUL1980,63472,146975,44611,63386,5.9439999983,124.69999999,84.649999976,392.79999924,458.89999962,129.25999999,119.82999998,88.979999959,81.199999988,7.799999997,510,90.299999952,6.4399999976,79311
AUG1980,63434,147395,44587,62604,5.875,124.29999995,86.089999974,400.09999943,464.19999981,136.54999995,123.5,93.619999945,82.399999976,7.6999999993,495,91.5,6.4299999997,80180
SEP1980,63115,147618,44484,63390,5.7939999998,123.09999996,85.5,405.59999943,466.69999981,142.09999996,126.50999999,95.409999967,83.5,7.5,488,91.699999988,6.3699999973,80439
OCT1980,62779,147161,44367,62785,6.1509999968,122.29999995,86.589999974,410.29999924,466.79999924,145.06999999,130.21999997,92.75999999,84,7.5,447,92.799999952,6.629999999,82076
NOV1980,62320,146413,45553,61449,6.2559999973,122.19999999,89.309999943,413.09999943,465.69999981,153.67999995,135.64999998,92.279999971,85.5,7.5,422,93.199999988,6.4599999972,82950
DEC1980,61536,147013,47913,67939,7.2049999982,123.09999996,90.98999995,408.79999924,456.79999924,149.77999997,133.47999996,90.299999952,85.899999976,7.1999999993,420,93.799999952,6.2899999991,83132
JAN1981,60124,145077,50434,71629,7.4599999972,126.89999998,91.379999995,411.59999943,455.29999924,147.22999996,132.96999997,94.609999955,85.199999988,7.5,424,95.199999988,6.5599999987,84943
FEB1981,59579,143429,50388,68784,6.3319999985,135.29999995,96.019999981,414.5,454.5,143.13999999,128.39999998,94.449999988,85.399999976,7.3999999985,410,96.099999964,7.3999999985,86059
MAR1981,59910,143397,51622,70660,6.4399999976,138.79999995,96.219999969,419.19999981,456.59999943,149.75999999,133.19,100.83999997,85.699999988,7.3999999985,413,97,7.6499999985,86518
APR1981,59849,143680,53436,66899,5.7089999989,138.09999996,98.799999952,427.29999924,462.89999962,150.79999995,134.42999995,105.95999998,85,7.1999999993,395,98,5.7399999984,85949
MAY1981,59819,143841,52920,64146,5.7649999969,137,103.58999997,424.19999981,456.09999943,146.77999997,131.72999996,104.66999996,85.599999964,7.5,401,98.299999952,5.799999997,85335
JUN1981,59907,145125,52479,63587,5.818,136.19999999,106.85999995,424.19999981,452.19999981,144.83999997,132.27999997,108.54999995,86.099999964,7.5,405,98.5,5.7799999975,86312
JUL1981,59907,145375,55185,62857,6.0229999982,135.29999995,109.86999995,425.89999962,449.29999924,140.09999996,129.13,101.63,87.099999964,7.1999999993,395,99,5.8599999994,86806
AUG1981,59745,145996,56545,61209,5.9229999967,134.79999995,112.28999996,427.69999981,447.89999962,141.13,129.63,110.03999996,86.899999976,7.3999999985,421,99,7.8099999987,88449
SEP1981,59451,147046,56231,63510,5.6499999985,135.79999995,107.97999996,428.09999943,444.09999943,126.59999996,118.26999998,93.669999957,86.5,7.5999999978,483,98.799999952,6.7299999967,87916
OCT1981,58875,146330,56734,63199,5.9729999974,135.29999995,106.33999997,429.5,444.19999981,123.97999996,119.79999995,96.889999986,85.799999952,7.8999999985,517,98.899999976,5.129999999,86679
NOV1981,58394,145592,57453,63658,5.9759999998,135.09999996,104.52999997,432.59999943,445.09999943,125.79999995,122.91999996,98.379999995,84.799999952,8.299999997,539,98.799999952,5.1399999969,86525
DEC1981,58081,147622,56774,67073,6.9219999984,134.79999995,105.20999998,436.39999962,447.59999943,128.22999996,123.78999996,98.369999945,84.099999964,8.5,551,98.799999952,4.9199999981,86818
JAN1982,57904,146782,57470,60618,7.2649999969,134.09999996,106.95999998,443.59999943,453.59999943,121.77999997,117.27999997,95.429999948,82.399999976,8.5999999978,563,99.699999988,5.3499999978,85994
FEB1982,57808,145788,58912,60712,6.2949999981,131.79999995,110.35999995,441.5,450.09999943,120.52999997,114.5,97.319999993,84.199999988,8.8999999985,514,99.799999952,6.25,88197
MAR1982,57868,145588,58888,63981,6.3549999967,126.79999995,112.44999999,442.5,451.09999943,112.42999995,110.83999997,97,83.699999988,9,566,99.599999964,5.8699999973,87649
APR1982,57950,146186,59685,62806,5.8489999995,121,114.06999999,447.09999943,454.39999962,117.31999999,116.30999994,102.90999997,83.199999988,9.299999997,566,99.599999964,5.4699999988,87777
MAY1982,57717,146167,58445,61892,5.4109999985,122.39999998,111.02999997,446.5,449.59999943,115.83999997,116.34999996,103.80999994,82.699999988,9.3999999985,585,99.799999952,6.379999999,88817
JUN1982,57868,147227,60143,62151,5.373999998,129.59999996,116.96999997,447.19999981,445,105.96999997,109.69999999,100.91999996,82.399999976,9.5999999978,551,100,5.129999999,87424
JUL1982,57882,147559,59198,61232,5.6439999975,131.79999995,118.90999997,447.39999962,443.39999962,106.33999997,109.38,102.65999997,82,9.799999997,533,100.39999998,5.1799999997,88977
AUG1982,57992,148438,58312,63801,5.6219999976,131,119.63,451.79999924,446.89999962,106.33999997,109.64999998,102.45999998,81.599999964,9.799999997,605,100.29999995,5.3499999978,88556
SEP1982,58542,149801,57238,65020,5.3719999976,129.5,120.92999995,457.5,452.09999943,119.60999995,122.42999995,115.50999999,81,10.099999998,653,100,6.1799999997,89564
OCT1982,58332,149220,57873,64322,5.5449999981,128,123.15999997,466.09999943,458.29999924,131.63999999,132.65999997,126.42999995,80.299999952,10.399999999,651,100.19999999,5.3299999982,90671
NOV1982,58256,149021,58048,66310,5.8169999979,126.79999995,124.26999998,472.19999981,464.79999924,139.34999996,138.09999996,133.26999998,80,10.799999997,616,100.29999995,6.4799999967,92490
DEC1982,59555,152490,55895,62322,6.2919999994,124.39999998,119.21999997,474.39999962,468.79999924,142.63,139.36999995,134.75,79.299999952,10.799999997,531,100.5,6.129999999,92111
JAN1983,57135,150131,55310,66061,6.4829999991,121.29999995,117.72999996,478,470.89999962,151.02999997,144.26999998,133.07999998,80.799999952,10.399999999,507,100.19999999,5.7799999975,91607
FEB1983,56758,148709,51758,61419,5.6849999987,117,119.69999999,483.79999924,476.19999981,154.07999998,146.79999995,133.88999999,80.699999988,10.399999999,478,100.5,5.9899999984,91796
MAR1983,56745,148997,50684,60130,6.0579999983,113.5,120.70999998,490.09999943,481.89999962,159.03999996,151.88,144.42999995,81.299999952,10.299999997,479,100.39999998,6.0799999982,94153
APR1983,56865,149311,49491,60165,5.5319999978,119.79999995,121.81999999,494,482.89999962,163.81999999,157.70999998,149.92999995,82.299999952,10.199999999,470,100.39999998,6.5399999991,94672
MAY1983,57352,149601,49278,62171,5.3539999984,124.29999995,122.04999995,499.79999924,486.19999981,173.33999997,164.09999996,154.89999998,83.199999988,10.099999998,453,100.79999995,6.8099999987,96105
JUN1983,58231,152065,51834,62733,5.3639999963,126.09999996,125.15999997,503.5,488.79999924,177.88999999,166.38999999,156.13,83.699999988,10.099999998,406,101,7.25,98122
JUL1983,59695,154914,52851,63713,5.6999999993,127.19999999,126.61999995,508.09999943,491.39999962,180.41999996,166.95999998,157.69,85.299999952,9.3999999985,380,101.29999995,7.1999999993,98885
AUG1983,62178,158402,53789,66927,5.9219999984,126.89999998,129.76999998,510.59999943,492.39999962,176.41999996,162.41999996,150.31999999,86.5,9.5,408,101.79999995,6.7199999988,97724
SEP1983,63448,160973,53251,65782,5.5379999988,125.69999999,129.73999995,512.89999962,493.19999981,182.88999999,167.15999997,155.42999995,87.899999976,9.1999999993,387,102,6.8699999973,99235
OCT1983,64780,163274,51315,61720,5.6479999982,123.89999998,127.5,518.29999924,496,183.08999997,167.64999998,160.19999999,88.599999964,8.799999997,386,102.19999999,7.1599999964,100807
NOV1983,65917,165670,53462,63908,5.9659999982,122.39999998,130.25999999,519.69999981,495.89999962,178.25,165.22999996,158.40999997,88.799999952,8.5,381,102.09999996,7.0699999966,102288
DEC1983,67557,171978,53483,64502,7.2459999993,121.5,132.83999997,521.19999981,496.39999962,179.19,164.35999995,154.81999999,89.199999988,8.299999997,378,102.29999995,8.0199999996,102760
JAN1984,68672,171896,55683,63558,7.4419999979,120,135.06999999,525.5,496.69999981,179.04999995,166.38999999,156.38999999,91,8,364,102.89999998,7.879999999,105133
FEB1984,71152,175859,58908,67254,6.4279999994,119.29999995,131.70999998,527.39999962,496.09999943,164.26999998,157.25,145.88,90.899999976,7.799999997,345,103.19999999,8.2399999984,104990
MAR1984,71212,177715,61928,67859,6.6369999982,119.39999998,128.06999999,531.09999943,498.19999981,173.63999999,157.44,144.54999995,91.899999976,7.799999997,348,103.89999998,7.9499999993,104218
APR1984,72666,180863,63156,66884,6.0549999997,121.09999996,130.00999999,534.29999924,499.29999924,173.90999997,157.59999996,143.76999998,92.399999976,7.6999999993,360,104,8.0199999996,106122
MAY1984,75312,186426,65690,68354,5.9529999979,122.09999996,133.98999995,536.79999924,500.29999924,172.26999998,156.54999995,143.82999998,93,7.3999999985,348,104.09999996,8.1499999985,106733
JUN1984,77418,191585,66737,71274,5.8069999963,121.39999998,134.30999994,540.39999962,502.69999981,164.51999998,153.11999995,146.13999999,93.5,7.1999999993,350,104,8.0299999975,108651
JUL1984,79393,194920,67188,70419,5.9379999973,119.69999999,139.29999995,540.89999962,501.29999924,160.01999998,151.07999998,145.41999996,93.899999976,7.5,365,104.19999999,8.1999999993,106781
AUG1984,80936,199233,68495,71722,6.1109999977,118.39999998,140.20999998,541,500,175.76999998,164.41999996,155.46999997,94,7.5,358,103.79999995,7.8499999978,106131
SEP1984,81706,201976,70159,72978,5.5529999994,118.89999998,145.69999999,544.39999962,501.79999924,178.03999996,166.10999995,157.27999997,93.899999976,7.299999997,368,103.39999998,7.6399999969,107472
OCT1984,82440,204026,71679,72719,5.7609999999,119.5,147.55999994,544.09999943,499.59999943,174.35999995,164.81999999,155.91999996,93.199999988,7.3999999985,405,103.39999998,7.5999999978,108388
NOV1984,82951,205979,73006,72774,5.9019999988,119.29999995,144.91999996,547.59999943,501.89999962,175.36999995,166.26999998,158.33999997,93.299999952,7.1999999993,397,103.69999999,7.7699999996,110185
DEC1984,83901,211606,73336,71467,6.4759999998,117.89999998,149.23999995,552.19999981,505.19999981,170.85999995,164.47999996,157.40999997,92.799999952,7.299999997,386,103.5,8.0699999966,109761
JAN1985,84348,213002,77658,73320,7.1619999968,114.5,152.82999998,556.29999924,508,180.56999999,171.60999995,163.70999998,93.099999964,7.299999997,378,103.39999998,8.2399999984,110393
FEB1985,85133,214775,78837,71646,6.685999997,112.79999995,158.42999995,563.09999943,511,192.21999997,180.88,171.98999995,93.799999952,7.1999999993,402,103.29999995,8.3099999987,111708
MAR1985,86657,218606,81188,76027,6.367999997,115.5,158.13999999,566.79999924,512,184.16999996,179.41999996,174.00999999,94.099999964,7.1999999993,389,103.09999996,8.379999999,112264
APR1985,87890,222316,81850,74950,5.8909999989,119.89999998,149.55999994,570.19999981,514.19999981,182.94,180.61999995,177.39999998,94.5,7.299999997,387,103.29999995,8.4699999988,114007
MAY1985,88828,223772,82537,78724,5.7829999998,122.29999995,149.91999996,575.59999943,517.59999943,184.42999995,184.89999998,178.54999995,94.699999988,7.1999999993,383,103.5,8.2299999967,114352
JUN1985,90099,226436,80898,79825,5.6709999964,123.29999995,147.70999998,583.59999943,523.39999962,183.58999997,188.88999999,188.70999998,94.399999976,7.3999999985,392,103.29999995,7.6499999985,113628
JUL1985,91038,229062,81211,80232,5.9729999974,123.29999995,140.94,589.39999962,527.69999981,190.60999995,192.53999996,190.29999995,94.099999964,7.3999999985,381,103.19999999,7.5299999975,114419
AUG1985,91251,231686,80429,79701,6.0459999964,122.19999999,137.54999995,596.79999924,533.29999924,189.59999996,188.30999994,185.92999995,94.5,7.0999999978,375,102.69999999,9.4099999964,115726
SEP1985,92183,235323,83387,80568,5.5699999966,120.89999998,139.13999999,604.29999924,539.09999943,184.52999997,184.05999994,182.75,95,7.0999999978,381,102.09999996,11.239999998,118878
OCT1985,92370,236892,83113,77268,5.8449999988,119.79999995,130.70999998,608,540.39999962,184.96999997,186.17999995,187.48999995,94.199999988,7.0999999978,367,102.89999998,6.4599999972,115319
NOV1985,92588,239344,84130,78772,5.8869999982,120.09999996,128.07999998,612.89999962,542.39999962,196.53999996,197.44999999,200.75,94.599999964,7,371,103.39999998,6.7699999996,116425
DEC1985,93012,245055,86273,79579,7.0629999973,120.29999995,125.79999995,619.89999962,546.19999981,210.80999994,207.25999999,212.59999996,95.599999964,7,391,103.59999996,7.75,117410
JAN1986,93222,246029,84265,84534,7.1729999967,119,123.64999998,621.09999943,545.29999924,211.66999996,208.19,211.38,96.099999964,6.6999999993,375,103.19999999,8.5,118477
FEB1986,93293,245816,82911,82698,6.4159999974,111.89999998,118.76999998,625.09999943,549.79999924,223.59999996,219.36999995,226.75999999,95.5,7.1999999993,373,101.69999999,7.8399999999,117533
MAR1986,93177,246189,78450,82379,6.5429999977,98.299999952,116.04999995,634,560.59999943,229.33999997,232.32999998,248.54999995,94.599999964,7.1999999993,395,100.29999995,6.9299999997,116781
APR1986,93831,249717,79067,83711,5.8859999999,89.5,115.66999996,641.29999924,569.5,232.59999996,237.97999996,260.50999928,94.799999952,7.0999999978,371,99.599999964,7.8399999999,117429
MAY1986,94427,251195,73995,85119,5.875,92.699999988,113.26999998,653.09999943,578,231.78999996,238.45999998,265.97999954,94.799999952,7.1999999993,370,100,8.1899999976,119125
JUN1986,95297,252679,74352,84312,5.800999999,95.799999952,113.76999998,661.29999924,583.19999981,236.15999997,245.29999995,279.46999931,94.399999976,7.1999999993,374,99.899999976,8.1799999997,119246
JUL1986,96570,255551,73535,85052,6.1449999996,89.5,110.38,670.59999943,590.79999924,223.39999998,240.17999995,283.69999981,94.799999952,7,363,99.399999976,7.6099999994,119593
AUG1986,97706,258169,74358,86261,6.0229999982,84.799999952,107.5,680.19999981,598.79999924,226.19999999,245,280.29999924,95,6.8999999985,376,99.299999952,8.8099999987,120923
SEP1986,99132,260196,73626,88137,5.6399999969,86.399999976,107.14999998,687.79999924,603.29999924,229.11999995,238.26999998,263.59999943,95.099999964,7,380,99.399999976,11.52,128542
OCT1986,100244,261444,76738,84397,5.8769999966,83.699999988,106.57999998,695.29999924,608.79999924,219.48999995,237.35999995,262.81999969,95.599999964,7,361,99.699999988,7.0999999978,122611
NOV1986,100841,264327,73347,83269,5.9759999998,82.699999988,107.89999998,706.69999981,617.69999981,227.84999996,245.08999997,272.90999985,96.199999988,6.8999999985,351,99.799999952,6.9899999984,121996
DEC1986,101548,266807,73809,83474,6.8849999979,83,106.53999996,724.29999924,630.89999962,234.50999999,248.60999995,272.62999916,96.699999988,6.5999999978,350,99.699999988,9.0799999982,127878
JAN1987,101758,263756,71192,86958,7.2339999974,86.799999952,101.13,730.29999924,632.29999924,251.84999996,264.50999928,291.31999969,96.5,6.5999999978,355,100.5,5.8399999999,119247
FEB1987,101890,262553,73782,87928,6.5189999975,91.099999964,99.459999979,731,629.59999943,275.48999977,280.92999935,315.12999916,97.599999964,6.5999999978,348,101,7.1699999981,125692
MAR1987,102048,262556,70780,89462,6.560999997,91.799999952,98.98999995,734,630.59999943,288.15999985,292.46999931,333.67999935,98.199999988,6.5999999978,326,101.19999999,7.3899999969,126231
APR1987,102965,265926,72358,87837,6.129999999,94,97.089999974,744.19999981,636.59999943,291.94999981,289.31999969,326.15999985,98.299999952,6.299999997,318,101.89999998,7.4099999964,126978
MAY1987,103780,267395,75795,88929,6.0079999976,94.799999952,96.049999952,748.19999981,637.89999962,299.7699995,289.11999989,322.75,99.199999988,6.299999997,321,102.59999996,6.8399999999,127255
JUN1987,105092,270935,74038,88917,6.0939999968,96.599999964,97.779999971,743.39999962,631.59999943,304.86999989,301.37999916,343.20999908,100.09999996,6.1999999993,320,103,7.1499999985,129043
JUL1987,106452,274466,76146,92440,6.4469999969,98,99.359999955,743.59999943,630.19999981,315.78999996,310.0899992,353.72999954,100.79999995,6.0999999978,286,103.5,7.2599999979,129921
AUG1987,107523,276967,78052,89202,6.3369999975,100.39999998,99.429999948,746.59999943,630,336.66999912,329.35999966,378.95999908,101,6,299,103.79999995,8.2399999984,131868
SEP1987,109174,281072,79019,95018,5.9569999985,100,97.229999959,748.5,629.5,327.03999996,318.65999985,365.07999992,100.89999998,5.8999999985,294,103.69999999,7.6899999976,130793
OCT1987,108505,280165,78138,92580,6.2039999999,98.799999952,96.649999976,757.19999981,634.69999981,280.8399992,280.15999985,309.48999977,102.29999995,6,289,104.09999996,6.0099999979,130282
NOV1987,108780,280540,81964,92040,6.1999999993,98.699999988,91.48999995,753.89999962,630.39999962,240.40999997,245.00999999,273.5899992,102.19999999,5.799999997,303,104.19999999,6.4099999964,130289
DEC1987,109506,287154,77111,93762,7.1529999971,97.5,88.699999988,749.69999981,625.29999924,245.86999995,240.95999998,272.16999912,102.59999996,5.6999999993,308,104.19999999,7.3899999969,131812
JAN1988,109583,288084,76507,88208,7.6169999987,94.699999988,89.289999962,757.59999943,630.29999924,246.46999997,250.47999996,279.63999939,103.5,5.6999999993,345,104.59999996,7.7599999979,132738
FEB1988,110544,288166,76499,90107,7.1269999966,92.799999952,91.089999974,758.5,630,249.67999995,258.12999916,292.03999996,103.5,5.6999999993,310,104.79999995,7.9729999974,133250
MAR1988,112214,289384,79514,96630,7.0929999985,92,89.729999959,762.39999962,630.59999943,258.46999931,265.73999977,305.5199995,103.89999998,5.6999999993,302,104.89999998,7.7719999999,135502
APR1988,113450,293039,80493,95270,6.2399999984,94.599999964,88.949999988,769.59999943,633.39999962,255.19,262.60999966,301.68999958,104.29999995,5.3999999985,299,105.79999995,7.3079999983,134772
MAY1988,114751,295400,81615,94694,6.1709999964,97,89.73999995,773.59999943,634.59999943,246.31999999,256.11999989,286.70999908,104.79999995,5.5999999978,304,106.5,7.5469999984,135790
JUN1988,116403,299889,81565,95380,6.2939999998,97.099999964,92.579999983,779.39999962,636.79999924,265.20999908,270.67999935,305.50999928,105,5.3999999985,295,107.19999999,7.7199999988,136920
JUL1988,117293,301993,81623,97080,6.5339999981,98.399999976,96.529999971,783.5,637.5,262.92999935,269.04999924,302.21999931,106.09999996,5.3999999985,323,107.89999998,7.4579999968,137319
AUG1988,120138,308114,81114,93630,6.7679999992,100.39999998,98.289999962,783.89999962,635.29999924,247.69,263.72999954,301.2699995,106.39999998,5.5999999978,299,108,7.3029999994,136990
SEP1988,121811,312195,80778,96425,6.1369999982,99.199999988,97.909999967,783.89999962,632.19999981,247.59999996,267.96999931,313.67999935,106.19999999,5.3999999985,290,108.09999996,7.055999998,137236
OCT1988,121567,312928,80899,93618,6.375,97.5,95.099999964,785,631,253.19,277.39999962,327.17999935,106.5,5.3999999985,291,108.19999999,6.9709999971,140289
NOV1988,122688,317753,79973,95933,6.5019999966,97.199999988,91.909999967,785.5,629.39999962,247.35999995,271.0199995,324.77999973,106.89999998,5.299999997,298,108.29999995,7.2729999982,141187
DEC1988,123392,324792,82601,99867,7.3369999975,95.299999952,91.879999995,786.39999962,628.09999943,253.86999995,276.50999928,331.11999989,107.39999998,5.299999997,304,109,8.3319999985,142038
JAN1989,121265,318934,86513,96723,7.3909999989,94.399999976,95.119999945,786,625.29999924,262.79999924,285.40999985,339.48999977,107.69999999,5.3999999985,298,110.5,7.3079999983,142968
FEB1989,121554,317887,84203,96000,6.9949999973,95.5,95.769999981,785.69999981,622.09999943,273.89999962,294.00999928,353.52999973,107.59999996,5.1999999993,304,110.79999995,7.1059999987,141532
MAR1989,121413,316413,86543,91958,7.2649999969,97.399999976,96.98999995,784.69999981,618.79999924,262.30999947,292.70999908,352.17999935,107.69999999,5,320,111.5,6.9049999975,141727
APR1989,122304,320593,82781,95447,6.3859999999,109.79999995,97.23999995,781.29999924,611.79999924,265.70999908,302.25,368.60999966,108.59999996,5.1999999993,301,112.29999995,7.6359999999,144522
MAY1989,123447,323055,83526,100194,6.362999998,115.19999999,100.80999994,776.79999924,605.5,274.70999908,313.92999935,386.23999977,108.29999995,5.1999999993,314,113.19999999,7.487999998,144927
JUN1989,124596,324967,85901,97637,6.4099999964,115,103.08999997,774.29999924,602.09999943,279.46999931,323.72999954,399.69999981,108.39999998,5.299999997,328,112.89999998,6.8419999965,145154
JUL1989,124389,325893,84264,96346,6.5549999997,113.19999999,99.119999945,779.29999924,604.09999943,282.03999996,331.92999935,411.62999916,107.79999995,5.299999997,338,112.79999995,7.1199999973,145933
AUG1989,126571,330488,86677,98463,6.7099999972,109.59999996,100.44,779.89999962,604.09999943,296.32999992,346.60999966,434.04999924,108.19999999,5.1999999993,316,112,8.2189999968,147467
SEP1989,126972,332502,87742,102105,6.1909999996,107.29999995,101.86999995,781.79999924,604.19999981,294.61999989,347.32999992,430.75999928,108.19999999,5.299999997,323,112.39999998,7.6259999983,147659
OCT1989,128215,335220,89484,97381,6.487999998,107.09999996,98.919999957,787.89999962,606.5,288.64999962,347.39999962,439.30999947,107.69999999,5.299999997,358,112.79999995,6.1729999967,145877
NOV1989,128025,336528,89347,103096,6.6439999975,104.59999996,97.98999995,788.89999962,604.5,277.77999973,345.98999977,430.30999947,108.09999996,5.3999999985,344,112.69999999,6.0949999988,147119
DEC1989,126288,342770,83493,105490,7.9459999986,103,94.879999995,793.59999943,605.79999924,286.05999947,348.56999969,432.2699995,108.59999996,5.299999997,360,113,6.4199999981,146997
JAN1990,126919,341319,88577,107481,7.5339999981,109,93,795.39999962,601.69999981,286.05999947,339.96999931,423.15999985,107.5,5.299999997,369,114.89999998,7.6919999979,150914
FEB1990,126814,338333,92453,109777,6.7409999967,108.59999996,92.25,801.09999943,603.19999981,283.38999939,330.44999981,406.88999939,108.5,5.299999997,352,114.39999998,6.8339999989,150388
MAR1990,125814,333046,90316,107581,7.0239999965,107.59999996,94.109999955,804.69999981,603.19999981,294.79999924,338.46999931,418.05999947,108.89999998,5.1999999993,347,114.19999999,6.799999997,149850
APR1990,126154,336026,88678,104333,6.498999998,109.59999996,93.50999999,807.69999981,604.09999943,294.18999958,338.17999935,426.67999935,108.79999995,5.3999999985,357,114.09999996,6.7369999997,149187
MAY1990,126752,337475,87542,106664,6.4919999987,114,92.039999962,807.5,603.09999943,305.64999962,350.25,445.5199995,109.39999998,5.299999997,346,114.59999996,6.7309999987,148743
JUN1990,126897,334138,87941,108398,6.5039999969,114,92.429999948,811.5,602.39999962,312.5,360.38999939,469.5,110.09999996,5.1999999993,350,114.29999995,6.9549999982,150156
JUL1990,126475,336658,92471,107898,6.7619999982,113.89999998,89.679999948,810.69999981,599.59999943,312.89999962,360.02999973,481.60999966,110.39999998,5.3999999985,365,114.5,6.9059999995,150498
AUG1990,127647,340525,86683,112808,6.9759999998,124.59999996,86.549999952,816.5,598.59999943,281.46999931,330.75,437.64999962,110.5,5.5999999978,370,116.5,6.9319999963,150984
SEP1990,128268,342698,85204,106838,6.3359999992,134.69999999,86.099999964,821.79999924,598.09999943,260.27999973,315.40999985,414.02999973,110.59999996,5.6999999993,387,118.39999998,7.3849999979,151970
OCT1990,127667,341755,83055,110505,6.5589999966,143.09999996,83.429999948,821.19999981,594.19999981,241.69999999,307.11999989,408.35999966,109.89999998,5.799999997,425,120.79999995,6.9279999994,152087
NOV1990,126544,342882,80245,114218,6.5479999967,143.19999999,82.119999945,823.29999924,593.59999943,249.94,315.28999996,424.90999985,108.29999995,6,460,120.09999996,6.3469999991,152669
DEC1990,126259,347466,79912,109997,7.2909999974,141,83.349999964,825.39999962,593.39999962,266.72999954,328.75,450.61999989,107.19999999,6.0999999978,455,118.69999999,6.5159999989,150149
JAN1991,126235,341426,76281,102570,7.868999999,130.39999998,83.50999999,826.69999981,591.79999924,267.71999931,325.48999977,443.64999962,106.59999996,6.1999999993,444,119,5.8779999986,147803
FEB1991,124745,339282,77272,109577,6.7019999996,119.79999995,82.119999945,836.39999962,597.39999962,309.17999935,362.25999928,504.42999935,105.69999999,6.5,477,117.19999999,6.1389999986,151092
MAR1991,123411,335754,74855,108621,6.936999999,113.79999995,88.119999945,843,602.59999943,308.67999935,372.27999973,528.28999996,105,6.6999999993,512,116.19999999,6.243999999,151467
APR1991,122710,336425,62695,108007,6.379999999,115.89999998,91.409999967,842.09999943,600.59999943,306.42999935,379.67999935,546.88999939,105.5,6.5999999978,472,116,5.617999997,150967
MAY1991,121631,334746,57484,107982,6.4569999985,120.89999998,92.289999962,851.59999943,605.69999981,302.66999912,377.98999977,543.39999962,106.39999998,6.799999997,434,116.5,6.1359999999,152710
JUN1991,121605,333442,52953,107318,6.4769999981,121.39999998,95.179999948,858.39999962,609.19999981,309.35999966,378.28999996,540.25,107.29999995,6.8999999985,418,116.39999998,6.5689999983,152642
JUL1991,121319,334273,52509,108110,6.8809999973,118.5,95.189999998,859.5,608.69999981,306.25,380.32999992,547.97999954,108.09999996,6.799999997,399,116.09999996,6.6119999997,153195
AUG1991,120577,335662,51573,109749,6.8559999987,119.59999996,93.469999969,866.09999943,611.69999981,309.27999973,389.39999962,576.50999928,108,6.799999997,419,116.19999999,6.1559999995,152160
SEP1991,119730,335509,50897,110361,6.3839999996,119.89999998,91.179999948,870,612.19999981,303.56999969,387.19999981,567.5199995,108.39999998,6.799999997,428,116,6.1619999968,152658
OCT1991,119276,335258,66000,112800,,118,90.689999998,879.09999943,618.19999981,300.64999962,386.87999916,564.87999916,108.19999999,6.8999999985,423,116.39999998,6.0649999976,152483
NOV1991,118502,334259,63900,112700,,119.29999995,87.979999959,890.29999924,623.5,294.09999943,385.91999912,568.31999969,108,6.8999999985,446,116.39999998,6.1789999977,151731
DEC1991,,,63700,112400,,118.19999999,85.649999976,896.69999981,,290.13999939,388.50999928,596.36999989,107.79999995,7.0999999978,446,115.89999998,5.9449999966,151153
JAN1992,,,,,,,86.089999974,,,,,,,,,,,
